ID,AMOUNT,REASON,DATE
265bd1,-30.0800,""card_purchase"",2013-11-12
e9454b,-15.3900,""card_purchase"",2013-12-02
843020,-77.8900,""card_purchase"",2013-12-01
a76724,-9.5800,""card_purchase"",2013-11-28
1cd6ac,-260.0000,""account_transfer"",2013-11-16
0241c7,-5.0000,""card_purchase"",2013-11-01
89c98d,-1.9900,""account_transfer"",2013-11-01
f5ceb0,-1.8200,""card_purchase"",2013-12-02
d8fd74,-18.2700,""card_purchase"",2013-11-22
7215a9,-12.7000,""card_purchase"",2013-12-14
f62268,-26.0000,""card_purchase"",2013-11-14
3f617c,-54.6600,""card_purchase"",2013-12-11
07d176,-6.0000,""ach_rdfi"",2013-11-20
54c75a,-1.8900,""card_purchase"",2013-12-10
707adb,-4.7800,""card_purchase"",2013-12-11
56481b,-8.3000,""card_purchase"",2013-11-23
e99b13,-24.3800,""card_purchase"",2013-11-27
7524e2,3.5000,""account_transfer"",2013-11-16
e88eee,-51.9800,""card_purchase"",2013-11-07
5c3a41,-1.0400,""card_purchase"",2013-12-02
9d4851,-8.8200,""card_purchase"",2013-11-13
6c3eeb,-174.5000,""card_purchase"",2013-11-25
2ff6af,-1.0000,""account_transfer"",2013-11-01
6e4143,-33.0700,""card_purchase"",2013-11-16
d1e8db,-31.9800,""card_purchase"",2013-11-23
ce958e,-1.4800,""card_purchase"",2013-12-13
a42cc2,6.5200,""card_refund"",2013-12-02
6b652c,-15.8800,""card_purchase"",2013-11-24
5b07f7,-28.3600,""card_purchase"",2013-11-26
444e6b,-13.9100,""card_purchase"",2013-12-09
560b44,200.0000,""card_transfer"",2013-12-08
f11c2b,-2.0000,""card_purchase"",2013-11-01
014523,-16.9900,""card_purchase"",2013-12-13
7e3c3e,-7.0800,""card_purchase"",2013-12-13
e355de,0.9900,""account_transfer"",2013-11-01
0c1971,1.0000,""account_transfer"",2013-11-01
b550a2,-12.8000,""card_purchase"",2013-11-25
841449,-13.3600,""card_purchase"",2013-10-29
4dabad,-6.0000,""card_purchase"",2013-11-01
717097,-12.9900,""card_purchase"",2013-11-13
5068d3,-6.5300,""card_purchase"",2013-12-01
2f8276,109.9400,""card_refund"",2013-11-29
da4ba2,-2.9900,""card_purchase"",2013-10-29
c3791e,-4.4300,""account_transfer"",2013-11-17
0dd168,-27.2500,""card_purchase"",2013-11-12
5a28bb,260.0000,""account_transfer"",2013-11-17
18d6d0,-59.9900,""card_purchase"",2013-10-26
1402c4,-13.9900,""card_purchase"",2013-11-12
85ed4f,-5.0100,""card_purchase"",2013-12-02
39bdaf,1.0000,""account_transfer"",2013-11-29
2e324f,50.0000,""retail_cash_load_us"",2013-11-16
e61edb,-1.9900,""card_purchase"",2013-12-02
48bd87,-14.2800,""card_purchase"",2013-12-01
07db54,-50.0000,""card_purchase"",2013-11-05
191e63,20.0000,""ach_rdfi"",2013-11-18
5e34ed,-69.2800,""card_purchase"",2013-10-30
370c98,-19.9500,""card_purchase"",2013-11-13
669a68,-39.9400,""card_purchase"",2013-11-30
9d43fe,-0.9900,""card_purchase"",2013-11-16
6f464b,-16.1700,""card_purchase"",2013-11-22
ca6af1,-21.7300,""card_purchase"",2013-12-10
aa0354,1.0000,""account_transfer"",2013-12-13
5420b3,8.3500,""account_transfer"",2013-11-30
d1b9e8,-238.9000,""card_purchase"",2013-11-01
34670d,200.0000,""card_transfer"",2013-12-01
53a59e,200.0000,""card_transfer"",2013-12-02
45021c,-9.7500,""card_purchase"",2013-11-27
f20e64,-10.3500,""card_purchase"",2013-12-15
d8561d,-14.0000,""ach_rdfi"",2013-11-18
40d298,-3.1900,""card_purchase"",2013-12-10
66bf93,-17.9900,""card_purchase"",2013-12-04
918052,-3.8300,""card_purchase"",2013-12-08
f876aa,-28.8000,""card_purchase"",2013-11-14
89df62,-17.4100,""card_purchase"",2013-11-16
2d3f00,-6.0000,""card_purchase"",2013-10-31
9a5d4b,-2.2500,""account_transfer"",2013-11-16
763212,-15.8800,""card_purchase"",2013-12-08
148a54,-596.9600,""card_purchase"",2013-10-29
8e7c2f,-2.9900,""card_purchase"",2013-11-28
